time,goal_dependency,memory_confidence,temporal_delay,delay_factor,conflict_score,rolling_conflict,recovery_state,recovery_action,action_numeric,execution_safety
0,0.21490142459033698,0.9356416836941251,3.415477211392938,1.170773860569647,0.01619261484291843,0.01619261484291843,clear,execute,1,0.9838073851570815
1,0.19585207096486448,0.898571061089593,4.2261911304020625,1.211309556520103,0.02406274639604306,0.020127680619480746,clear,execute,1,0.9798723193805192
2,0.2194306561430208,0.8932276875484723,2.9129918812345137,1.1456495940617257,0.026841560189423064,0.022365640476128185,clear,execute,1,0.9776343595238718
3,0.24569089569224078,0.9320618103810797,3.321369377679153,1.1660684688839575,0.019463775441157564,0.02164017421738553,clear,execute,1,0.9783598257826145
4,0.19297539875829994,0.9144134303668537,3.55211519336889,1.1776057596684444,0.019449457317413345,0.02120203083739109,clear,execute,1,0.9787979691626089
5,0.1929758912915246,0.9378500123523024,2.679023622491331,1.1339511811245666,0.013599985954215858,0.019935023356861887,clear,execute,1,0.9800649766431381
6,0.24737638446522175,0.9318309406143387,3.1792739854483334,1.1589636992724166,0.01954408634444172,0.019879175212230434,clear,execute,1,0.9801208247877695
7,0.22302304187458727,0.9181792771835782,3.010073920625436,1.1505036960312718,0.020994283862608702,0.02001856379352772,clear,execute,1,0.9799814362064723
8,0.18591576842195146,0.89883015704829,3.0781408788390654,1.1539070439419532,0.021703917316975144,0.020707476602784807,clear,execute,1,0.9792925233972152
9,0.21627680130757895,0.8821288193828534,2.3815921729156266,1.1190796086457813,0.028528474784978317,0.021265692651401717,clear,execute,1,0.9787343073485982
10,0.18609746921562614,0.9088371261983245,3.019608139407154,1.1509804069703578,0.019526589896876934,0.020351321364833447,clear,execute,1,0.9796486786351666
11,0.1860281073928923,0.9414099698580869,3.3983986329963596,1.169919931649818,0.012751416434320343,0.019512276488978793,clear,execute,1,0.9804877235110212
12,0.20725886814698102,0.9253523436032551,4.160914886236034,1.2080457443118018,0.01869014536776593,0.01941736249527287,clear,execute,1,0.9805826375047272
13,0.14260159266026606,0.8888565305322004,3.7674166608681654,1.1883708330434082,0.018834769503088843,0.020071710438881993,clear,execute,1,0.979928289561118
14,0.14825246502460904,0.9243295231462796,4.722545966009245,1.2361272983004623,0.013867289792759743,0.019362110869921744,clear,execute,1,0.9806378891300782
15,0.18313137412277083,0.9296329344932209,2.3861219496895605,1.119306097484478,0.014423845569703296,0.01854080608330857,clear,execute,1,0.9814591939166915
16,0.1696150663899673,0.8979035640949717,3.6978565093765425,1.1848928254688271,0.02051890014733495,0.018392678937103547,clear,execute,1,0.9816073210628965
17,0.20942741997785821,0.9238431276486382,3.1466736045906814,1.157333680229534,0.018458705223206896,0.017133957741882117,clear,execute,1,0.9828660422581179
18,0.17275927773436367,0.92145521796115,4.751842346574138,1.237592117328707,0.01679330799219405,0.016792297503796755,clear,execute,1,0.9832077024962033
19,0.15763088895994126,0.8914257425542345,2.353361371715879,1.117668068585794,0.019128505320015345,0.017589433614508633,clear,execute,1,0.9824105663854914
20,0.24396946306764664,0.9289446840087071,2.328222526255379,1.116411126312769,0.01935335226538501,0.017672334476711016,clear,execute,1,0.982327665523289
21,0.19322671098540395,0.9340196131592059,2.520485883644782,1.1260242941822391,0.014355878685014605,0.017112473124451737,clear,execute,1,0.9828875268755483
22,0.20202584614063773,0.947076281079382,1.3008834205521544,1.0650441710276077,0.011387408711897593,0.01680248798934397,clear,execute,1,0.9831975120106561
23,0.15725755441359632,0.9463450513008727,2.579395982655391,1.1289697991327696,0.009525847526269627,0.016190238233914758,clear,execute,1,0.9838097617660853
24,0.18366851826424452,0.8855582658010728,2.3926938707570415,1.119634693537852,0.02353398649555516,0.016567124027442284,clear,execute,1,0.9834328759725577
25,0.203327677691296,0.896554374002122,3.1203150291809663,1.1560157514590483,0.02431489419619173,0.01729914764906539,clear,execute,1,0.9827008523509346
26,0.16547019267733093,0.9328758816802165,3.2734047806217275,1.1636702390310865,0.012924932812971277,0.01681560075166254,clear,execute,1,0.9831843992483374
27,0.21127094055037016,0.9328446487728053,4.500936671372709,1.2250468335686355,0.01738093288899514,0.016597154197785017,clear,execute,1,0.9834028458022149
28,0.18198083930243586,0.9328761921576513,3.76033907054884,1.188016953527442,0.014511920394854678,0.015991975213968727,clear,execute,1,0.9840080247860312
29,0.1912491875062017,1.0,2.5384770754700776,1.1269238537735038,0.0,0.0141974903783419,clear,execute,1,0.985802509621658
30,0.1819488016331181,0.9342722627673292,2.2812682629213135,1.1140634131460656,0.013323176851303175,0.014439461395767598,clear,execute,1,0.9855605386042324
31,0.25556834553526814,0.948389141004515,3.3935353372052046,1.1696767668602601,0.015428155680769344,0.015177249915080062,clear,execute,1,0.9848227500849199
32,0.199595083257862,0.9438500440873301,1.9438134343834863,1.0971906717191744,0.01229649577907212,0.013772563575519684,clear,execute,1,0.9862274364244803
33,0.16826867213132302,0.936284781282645,4.465167012683483,1.223258350634174,0.013114889476717776,0.01237256298558544,clear,execute,1,0.9876274370144146
34,0.2246763473630957,0.9121182688839914,3.9435520965770294,1.1971776048288514,0.023638207575284013,0.013711722330874532,clear,execute,1,0.9862882776691255
35,0.16337469050086934,0.9389742305123318,2.6246594783162362,1.1312329739158118,0.011278467640533224,0.012948914174816792,clear,execute,1,0.9870510858251832
36,0.20626590785014268,0.9006793696365607,1.629492376727298,1.0814746188363649,0.022155586509168244,0.013904372439105986,clear,execute,1,0.986095627560894
37,0.14120989628360675,0.9140795348314998,4.08309789933233,1.2041548949666165,0.014609794562745124,0.015730596759449128,clear,execute,1,0.9842694032405509
38,0.1601544185330471,0.9078659113042724,2.9083681237979055,1.1454184061898953,0.016901429073881,0.016177878287271356,clear,execute,1,0.9838221217127286
39,0.2059058370760737,0.9220468534846581,3.9902530495787696,1.1995126524789386,0.019253387044242596,0.016656032207705514,clear,execute,1,0.9833439677922945
40,0.22215399739986233,0.9778664641668378,1.7244578729645061,1.0862228936482252,0.00534101603964072,0.015786597240276586,clear,execute,1,0.9842134027597235
41,0.20514104843569914,0.8733183701852063,2.5204999816369815,1.1260249990818492,0.029262689921024793,0.017805072295814964,clear,execute,1,0.982194927704185
42,0.1965305515283528,0.9371565047593629,3.0041949597745465,1.1502097479887272,0.014205857324070072,0.01662602851441322,clear,execute,1,0.9833739714855868
43,0.19096688913232135,0.8796821032202587,3.0375844750117937,1.1518792237505897,0.026466423048315344,0.018524522940385986,clear,execute,1,0.981475477059614
44,0.1556443402889772,0.9082017033552642,2.639947622816605,1.1319973811408302,0.016173848765323913,0.017776805722405444,clear,execute,1,0.9822231942775945
45,0.42840467374815877,0.9472237649241841,3.498279945877999,1.1749139972939,0.026564318793380493,0.019271121251234865,clear,execute,1,0.9807288787487651
46,0.4401808368712064,0.9216070004773866,2.1459036564939247,1.1072951828246962,0.03820954132323089,0.021934635282403605,clear,execute,1,0.9780653647175964
47,0.48971366678656747,0.8930563805517674,2.8860964119829653,1.1443048205991482,0.05992924829904692,0.027019117939254145,clear,execute,1,0.9729808820607458
48,0.47230854868705385,0.9021174072685009,3.096236505369519,1.154811825268476,0.05338785757291033,0.03302497313091284,clear,execute,1,0.9669750268690872
49,0.413108795339118,0.936989943723367,3.4115510672469993,1.17057755336235,0.03047014359684526,0.0331759048403904,clear,execute,1,0.9668240951596097
50,0.4797225190818439,0.8317408342070716,3.569291902471112,1.1784645951235555,0.0951229644630065,0.04329054323275745,clear,execute,1,0.9567094567672425
51,0.46244753158751056,0.8494114647395493,2.1002863265297047,1.1050143163264852,0.07695241951921822,0.049601292791620316,clear,execute,1,0.9503987072083797
52,0.45769233999082126,0.8391392959975953,1.7727086634115021,1.0886354331705752,0.08015047027004173,0.057598370479710045,clear,execute,1,0.9424016295202899
53,0.500350288665226,0.8157099913098546,4.022141457518807,1.2011070728759403,0.11075355355720004,0.06812202482518749,clear,execute,1,0.9318779751748125
54,0.5169299856748785,0.8795986022331331,3.265851209583673,1.1632925604791837,0.07240227365180853,0.0723961163662597,clear,execute,1,0.9276038836337404
55,0.517938403573486,0.8358479755579502,4.401210770754757,1.2200605385377379,0.10373032475417351,0.0778712509231505,clear,execute,1,0.9221287490768495
56,0.46882347430332083,0.7633714353335598,6.360921580418019,1.318046079020901,0.14622011188227182,0.0894752827118207,clear,execute,1,0.9105247172881793
57,0.48872362872446357,0.8126613578692357,5.332539707434287,1.2666269853717145,0.11596834015123209,0.10016255728111906,clear,execute,1,0.8998374427188809
58,0.511937902942107,0.7854553383807903,6.303437747251062,1.315171887362553,0.14444998956436722,0.10632843541878916,clear,execute,1,0.8936715645812109
59,0.5352663538136708,0.8173108333699055,5.534014785128088,1.2767007392564045,0.12484520004068063,0.11231503298397194,clear,execute,1,0.8876849670160281
60,0.4956247728646413,0.7701869815391825,7.248598339905589,1.3624299169952794,0.15518216413994504,0.12169399471770986,clear,execute,1,0.8783060052822902
61,0.5084302307000855,0.7811315889633276,7.124272673954564,1.3562136336977282,0.15091852647926307,0.12671461633296774,clear,execute,1,0.8732853836670322
62,0.48480995077981914,0.7906246819745114,5.640828681216741,1.282041434060837,0.13013648449416312,0.13393139268826207,clear,execute,1,0.866068607311738
63,0.4861138012775799,0.7936438798542531,6.737256760763485,1.3368628380381742,0.13410413095327103,0.13772811846314925,clear,execute,1,0.8622718815368507
